Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
Lenovo IdeaPad 1Celeron DualN4020 - (8 GB/512 GB /dows 11 Home) 14IGL7 in and Lig...,299.875,8.0,Celeron Dual Core,14IGL7,Lenovo,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-02
SAMSUNG Galaxy Book4 Metal i3 13th1315U - (8 GB/512 GB /dows 11 Home) NP750XGJL...,474.875,8.0,Core i3,NP750XGJ-LG4IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
Acer Chromebook Plus Google AI i3 N305 - (8 GB/256 GB /Chrome OS) CB5144H39T7 Chromebo...,249.875,8.0,Core i3,Chromebook Plus,Acer,Intel Integrated UHD,35.56 cm (14 Inch),256.0,2025-02-02
HP 5 Hexa5500U - (16 GB/512 GB /dows 11 Home) 15seq2305AU in and Light,562.375,16.0,Ryzen 5 Hexa Core,15s-eq2305AU,HP,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-02
Acer Aspire 3Celeron Dual- (8 GB/256 GB /dows 11 Home) A31145 in and Light Lapto...,224.875,8.0,Celeron Dual Core,Aspire 3,Acer,Intel Integrated UHD,29.46 cm (11.6 inch),256.0,2025-02-02
omson NEOSeries i3 12th1215U - (8 GB/256 GB /dows 11 Home) INN15I in ...,312.375,8.0,Core i3,IN-N15I,Thomson,Intel Integrated UHD,39.62 cm (15.6 inch),256.0,2025-02-02
Lenovo Lenovo V15 G3 IAP12th1235U - (16 GB/512 GB /dows 11 Home) 82TTA07RIH ...,587.375,16.0,Core i5,82TTA07RIH,Lenovo,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
SAMSUNG Galaxy Book413th1335U - (16 GB/512 GB /dows 11 Home) NP750XGJKG2IN ...,684.9875,16.0,Core i5,NP750XGJ-KG2IN / NP750XGJ-LG2IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
ASUS Vivobook S 15 OLEDEVO HSeries13th13500H - (16 GB/512 GB /dows 1...,948.625,16.0,Core i5,S5504VA-MA541WS,ASUS,Intel Integrated Iris Xe,39.62 cm (15.6 inch),512.0,2025-02-02
Lenovo IdeaPad Slim 3 Backlit12th12450H - (16 GB/512 GB /dows 11 Home) 15IAH...,628.625,16.0,Core i5,15IAH8,Lenovo,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-02
Acer Swift Go 14 5 Hexa7430U - (16 GB/512 GB /dows 11 Home) SFG1441R6G9 in a...,487.375,16.0,Ryzen 5 Hexa Core,SFG14-41,Acer,AMD Radeon AMD,35.56 cm (14 Inch),512.0,2025-02-02
"ASUS Vivobook 15, with Backlit ,12th1235U - (16 GB/512 GB /dows 11 H...",612.375,16.0,Core i5,X1504ZA-NJ540WS|X1504ZA-NJ542WS,ASUS,Intel Integrated Integrated,39.62 cm (15.6 Inch),512.0,2025-02-02
DELL Latitude 3540 (2024) i3 12th1215U - (16 GB/512 GB /dows 11 ) Latitude 35...,418.625,16.0,Core i3,Latitude 3540,DELL,Intel Integrated UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-02
"ASUS Vivobook 15, with Backlit , i3 12th1215U - (8 GB/512 GB /dows 11 Ho...",412.375,8.0,Core i3,Vivobook 15,ASUS,Intel Integrated Integrated Intel® UHD Graphics,39.62 cm (15.6 Inch),512.0,2025-02-02
"ASUS Vivobook 16X for Creator,12th12500H - (16 GB/512 GB /dows 11 Home/4 GB ...",749.875,16.0,Core i5,K3605ZF-RP258WS,ASUS,NVIDIA GeForce RTX 2050,40.64 cm (16 Inch),512.0,2025-02-02
ASUS Vivobook 15 i3 12th1215U - (8 GB/512 GB /dows 11 Home) X1504ZANJ322WS in...,412.375,8.0,Core i3,X1504ZA-NJ322WS,ASUS,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-02
ASUS TUFF15 - AI Powered 11th11260H - (8 GB/512 GB /dows 11 Ho...,599.875,8.0,Core i5,Gaming F15,ASUS,NVIDIA GeForce RTX 2050,39.62 cm (15.6 Inch),512.0,2025-02-02
Acer Swift Go 14 EVO OLED13th13500H - (16 GB/512 GB /dows 11 Home) SFG1471...,989.375,16.0,Core i5,SFG14-71-58UB,Acer,Intel Integrated Iris Xe,35.56 cm (14 Inch),512.0,2025-02-02
HP 255 G95 Hexa 55625U - (8 GB/512 GB /dows 11 Home) 255 G9 Bus...,374.875,8.0,Ryzen 5 Hexa Core,Notebook,HP,AMD Radeon AMD Radeon™ Graphics,39.62 cm (15.6 inch),512.0,2025-02-02
SAMSUNG Galaxy Book4 Metal i3 13th1315U - (8 GB/512 GB /dows 11 Home) NP750XGJL...,474.875,8.0,Core i3,NP750XGJ-LG4IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
